"latitude";"longitude";"bio4_temp_";"bio11_temp";"bio16_prec";"bio17_prec";"ag_mosiac";"distance_high_pop";"hnd";"soilWater";"pH";"clay"
-30.083949;-51.624184;39.1595220954331;14.45;407.428982939512;290.832831761018;0.142774771179439;14861.859873008;4.32615754768433;34;50.8947368421053;24.7085020242915
-19.881683;-43.804264;18.4657948184974;18.1463354190996;781.80052958675;30.9918123224769;0.221378208731857;114.387194900832;114.149464654141;29.7377049180328;53.4590163934426;37.1065573770492
-29.364523;-50.879087;32.0014941401052;11.7598684017556;546.535993997097;434.020416300124;0.142861325523466;56.2271934017058;50.4680237594916;39.7551020408163;49.1061224489796;44.8775510204082
-30.083333;-51.533333;38.7821779152052;14.4735725327767;414.24295375267;296.429845407254;0.00231635006199257;17307.801781064;1.94087773875186;31.9919028340081;52.4089068825911;27
-31.2;-52.666667;38.1921208206966;12.0980248366236;435.317322369836;367.52278849899;0.173950155936447;20000;40.1374504575691;31;51.406374501992;26.8486055776892
-31.759115;-52.434425;38.5162374002515;13.5498765624076;388.285717692872;315.718603417851;0.0248010866790173;19.6078431372549;6.65429389993037;34.1771653543307;56.4488188976378;23.9488188976378
-30.234154;-54.448357;42.3664597178955;13.7412597094856;489.066233535232;391.593121271966;0.0988062393274644;20000;10.138219933356;31.1008064516129;50.241935483871;25.8709677419355
-25.3153;-48.96776;26.246469149625;14.4015997782899;719.676477469155;305.484450949062;0.215004467510867;8614.87905233414;20.1089663583724;35.7622950819672;47.3524590163934;40.3565573770492
-19.963668;-44.199772;18.6072237438598;18.5888069586484;852.733840934564;35.9271339412613;0.0143366777903837;0;26.6300387773357;27.5573770491803;57.1680327868852;36.5450819672131
-19.977866;-43.847923;18.7745563326322;18.3436947725413;925.238130037531;38.0114545925863;0.115858775356158;271.008403361345;29.7189027442307;30.1639344262295;51.6147540983607;35.1434426229508
-8.221536;-34.965559;8.44965106982047;24.45;950.981747907113;169.707145160518;0.415773039885158;43.3011138916016;3.3923041395132;36.1203319502075;52.6307053941909;25.1369294605809
-10.879162;-37.087898;10.2821188050841;24.054322563199;657.067087233397;132.329531393394;0.398467655314845;0;3.50516990452637;34.9341563786008;55.7201646090535;22.8312757201646
-1.820677;-44.862385;4.11908053017888;25.85;1182.1743168225;33.1175637330462;0;464.200713600574;6.7991248057591;36.0912863070539;47.1369294605809;30.1784232365145
-12.044693;-38.754673;16.6783962691266;22.3062979050605;309.311565010022;159.423368781342;0.0635727440494313;575.548871849765;18.7941810276883;28.8512396694215;56.9876033057851;19.6074380165289
-1.189185;-46.156769;5.18443620324997;25.7500000000001;1269.58695510286;36.3695440314135;0;932.219479868103;7.36997423171997;29.1458333333333;45.7083333333333;31.8
-11.181096;-40.53566;16.2494282026405;21.3383131226905;255.912806372543;75.9082197978754;0.0513836712940889;260.647768667053;11.277816051294;23.6239669421488;58.3760330578512;24.5413223140496
-19.625934;-43.23173;18.7940611626591;17.9324690413199;1064.98784845789;51.4589415321417;0.0461513390622607;0;39.0241240986058;28.8483606557377;56.3401639344262;30.9385245901639
-19.838132;-43.887255;18.2878281498656;19.1681977668609;846.320362753491;33.2243032794107;0.104436434448242;188.917343586559;39.1399424662356;25.6680327868852;57.5081967213115;33.9672131147541
-16.732222;-43.867264;14.6693495135377;21.5369501008385;619.200782663407;12.5118696586875;0;0;10.7978642573122;25.516393442623;66.2254098360656;28.0614754098361
-16.733537;-43.86569;14.6593526636836;21.5123457564501;617.872874402345;12.477578186897;0;0;10.2015758772365;25.1229508196721;66.6598360655738;27.3524590163934
-18.605944;-43.386991;18.2706291840301;18.3920515257048;770.332071223186;35.4249100699584;0.38529084995572;482.658449205302;47.2581645196357;32.3827160493827;51.679012345679;40.2921810699588
-18.719422;-43.367901;18.5687269505188;18.9905084269113;759.77109806536;33.6353406922684;0.200642078582405;20000;67.2850657569037;34.9917695473251;52.4485596707819;39.9053497942387
-21.133824;-44.261284;19.6289466066495;17.2436861078873;856.812232520673;47.9335635556198;0.0400954144897461;0;62.0727472461638;24.2868852459016;55.2418032786885;35.6516393442623
-20.377458;-43.415337;20.1994488680447;18.2583925223064;1077.69404864732;57.0488303557316;0.0446812051293467;0;8.37725775359107;28;58.3770491803279;31.7540983606557
-18.7361;-43.3653;18.525603864087;19.1180594128502;762.94116750178;33.731028815984;0.377568035752002;20000;40.8218919887464;33.3045267489712;52.0329218106996;39.4855967078189
-19.983876;-44.016516;18.6692858599372;17.6233403050139;1018.18406124884;41.6771524440011;0;0;29.7965721849535;29.3073770491803;61.3688524590164;31.8155737704918
-19.067959;-41.863461;17.9384039340342;22.1182024289079;692.324718577625;39.5779231705348;0.0693261389038086;189.567579754328;27.9864794152682;24.3770491803279;58;27.233606557377
-20.375527;-43.41671;20.1610576391277;18.2285252685293;1080.44420053696;57.1674370342258;0.0240163431741154;0;15.9762682895111;28.3168724279835;57.880658436214;32.6049382716049
